Nighttime lights,GDP2015,Ten years change of NDVI,Population,Degree of urbanization,Impact of the vadose zone, Depth to groundwater,Slope,Aquifer water yield capacity, Net recharge, Conductivity,LULC,PPSD,EWQI,target
12.9359407,12360,0.6071428,748.7302686,30,2,2,1,7,3,5,1,0.0353678,42.11502412,1
0.8446618,8603,0.5637755,208.6867101,21,2,2,3,3,3,2,8,0,62.40842847,1
2.4132445,5489,0.502551,149.1107679,21,2,2,9,3,3,2,8,0.1061033,48.65510167,1
0.6905727,721,0.505102,323.6891199,23,2,4,9,1,3,2,8,0,35.07515386,1
0.7914927,776,0.5280612,345.6584746,23,2,1,9,1,3,2,1,0.1061033,37.55761249,1
2.2851636,725,0.3316326,12.00398979,21,10,2,9,7,8,2,8,0.0707355,33.30581671,1
3.0950186,755,0.5612245,64.8255368,30,10,4,5,7,8,5,1,0,68.62963132,0
0.3501131,717,0.5841836,8.792579278,23,2,1,9,3,3,2,1,0,40.78052769,1
13.3585978,10985,0.4387755,70.23232886,21,6,2,9,7,8,3,8,0.0707355,56.84130136,1
6.3204889,10931,0.5280612,42.77258459,21,10,2,9,7,6,3,1,0,40.02619413,1
2.5459421,3509,0.6173469,102.2838027,12,10,6,10,7,6,3,1,0,52.37305043,1
1.0218686,3033,0.5943877,139.5765274,21,10,7,9,7,8,2,1,0,51.7985715,1
27.793066,7040,0.385204,332.1741596,30,6,6,10,7,6,2,8,0.1061033,43.07853328,1
38.6341248,5254,0.4209183,411.2220636,30,6,4,9,7,6,2,8,0.0707355,48.92394383,1
0,814,0.6403061,2.608213222,22,8,1,9,1,3,2,1,0,52.73387695,1
0,1494,0.5561224,67.62523658,21,2,2,9,3,3,2,8,0,44.44414652,1
0,1387,0.4872449,18.3894901,12,8,1,5,1,6,4,8,0,37.67316886,1
0.3796503,1386,0.5204081,0.174708642,21,8,2,10,3,6,2,1,0,47.30493706,1
0,1382,0.4872449,108.7888613,21,2,1,5,3,3,2,1,0,53.00898508,1
2.7610338,1406,0.5204081,329.5118924,23,2,1,9,7,3,2,8,0.1061033,43.53227093,1
2.7389455,1172,0.5867347,69.85641475,21,10,1,5,7,6,2,1,0.0353678,58.99603907,1
0,1081,0.6045918,177.410597,21,8,1,10,5,6,4,1,0,56.28577279,1
0.2818598,1360,0.5943877,3.273474813,21,2,1,10,3,3,2,1,0,35.24615971,1
0,1641,0.4770408,219.0417985,21,8,4,9,3,6,4,1,0,41.54476912,1
1.3603877,1646,0.5255101,27.32361544,21,2,4,9,3,3,2,1,0.1061033,44.06441177,1
4.9219661,1641,0.5357143,145.1056871,21,10,4,9,5,8,2,8,0.1414711,39.18697905,1
4.9219661,1641,0.5357143,145.1056871,21,10,4,9,5,8,2,8,0.1414711,39.42131015,1
0,1634,0.5382653,4.615653977,21,8,2,9,3,6,2,1,0,34.97732,1
3.6802902,4405,0.5612245,211.8293358,23,10,4,5,9,8,3,8,0,47.03911025,1
1.1196525,2161,0.510204,68.57571021,21,2,4,9,3,3,2,1,0,48.29245219,1
5.7103486,1769,0.512755,255.6816128,30,8,4,10,3,6,3,1,0,38.74445438,1
0.5007705,1349,0.5561224,0,21,8,7,9,3,6,3,1,0,43.35421906,1
3.1489913,849,0.2295918,2.911692046,12,2,7,9,3,3,2,5,0,25.56028817,1
2.6934924,1338,0.3979591,21.17638579,21,8,7,9,3,6,3,8,0.0707355,60.59908116,1
0.5280614,1347,0.4209183,0,11,8,7,9,3,6,3,1,0,51.75057379,1
2.5693805,747,0.507653,191.2828399,30,10,1,9,7,8,2,8,0.0353678,36.55847272,1
1.7342895,656,0.507653,321.2415257,21,10,1,10,7,8,2,8,0,75.88831556,0
0.5823294,2009,0.510204,169.0053394,21,6,2,10,3,8,2,8,0,54.04897605,1
0.6374832,1089,0.4872449,221.6994385,21,8,2,5,7,6,2,8,0,57.82401741,1
0,1951,0.5306122,88.63997249,21,8,2,9,3,6,4,1,0,36.54308658,1
0.4289494,1946,0.5,190.7627371,21,8,4,10,3,6,2,1,0.0353678,45.83088896,1
1.3147345,1963,0.5535714,217.4568216,23,8,2,9,1,6,4,8,0.0353678,53.79401771,1
0,1947,0.6045918,66.50045124,21,2,2,9,3,3,2,1,0,46.04606434,1
7.1557665,2245,0.502551,445.7122266,21,10,2,10,7,8,5,8,0.0353678,49.06534736,1
0.4024725,2103,0.6096938,57.64293573,21,2,1,10,3,3,2,1,0.0707355,35.92522316,1
2.6265831,1031,0.5153061,108.6542977,21,8,7,5,1,6,2,8,0.1061033,37.94181248,1
4.8738213,3297,0.4311224,68.00728187,30,6,4,9,7,6,5,1,0,50.42334531,1
0.3923573,2942,0.5637755,67.5100669,21,10,1,9,3,6,2,1,0,48.73937201,1
0,2725,0.5612245,75.21611392,21,2,1,9,3,3,2,1,0,44.02221381,1
2.560071,2590,0.5663265,46.98069838,21,10,2,9,7,6,2,1,0.1061033,55.89881792,1
0.8597424,4004,0.5229591,19.49458457,11,10,6,9,9,6,5,1,0,38.49422088,1
1.0645314,2765,0.4923469,68.44689758,21,2,1,5,3,3,2,8,0.0353678,49.4227622,1
42.3923759,144688,0.4234694,439.6040626,30,6,6,9,7,6,3,8,0.1061033,46.29437401,1
0.6999862,446,0.5153061,66.39624385,23,10,6,9,9,6,5,8,0,30.58019022,1
5.8911657,7803,0.5408163,112.5321196,30,10,4,9,7,8,2,8,0.1414711,45.56677566,1
1.9510208,3606,0.635204,29.66149962,21,6,6,10,5,6,3,1,0.1061033,61.61198001,1
4.7195926,3984,0.5433673,5.197036086,12,10,7,9,7,6,3,1,0.0353678,54.09080937,1
9.3638115,4583,0.4311224,23.393516,21,6,7,10,7,6,3,1,0.0707355,64.77393064,0
0.6287165,499,0.3137755,69.1189018,12,10,10,9,5,6,3,8,0.0707355,63.50610794,1
0.9194728,1638,0.5637755,68.65550178,21,8,4,5,3,6,2,1,0,88.59232995,0
1.8766363,4282,0.5714285,158.0503907,21,10,4,3,9,8,3,1,0,65.07196377,0
0,2077,0.5484694,0,11,10,7,10,7,6,3,1,0,50.86293109,1
0,2076,0.627551,23.39131474,21,10,7,10,7,6,3,1,0,74.70608271,0
0,2079,0.6071428,87.04406179,21,10,7,9,7,6,3,1,0,53.13188482,1
0,2088,0.5969387,7.016100696,11,10,6,10,7,6,3,1,0,49.18448215,1
0,2088,0.3596939,10.33416775,21,10,6,10,7,6,3,1,0,38.7616011,1
0,2088,0.4795918,43.21529924,21,10,6,10,9,6,3,1,0,30.71238778,1
0,2096,0.5382653,111.3865002,21,10,4,9,7,6,3,1,0,36.51698135,1
0.6587698,2582,0.5790816,53.79332936,13,8,1,5,1,3,3,8,0,94.0739553,0
0.4909409,1107,0.6607142,13.81234661,13,8,2,10,1,3,2,1,0,58.62630431,1
1.3162571,1319,0.3979591,12.89607132,12,10,7,5,9,6,5,8,0,51.58237644,1
3.0196576,1345,0.5280612,24.43213471,21,10,7,9,7,6,3,8,0.0353678,66.29468126,0
1.0030435,1341,0.382653,0,12,8,7,10,3,6,3,1,0,77.88976341,0
0,1322,0.3494898,38.59193869,12,10,7,9,7,6,3,8,0,41.28883713,1
0,2210,0.4948979,74.45275105,12,8,2,10,5,6,3,1,0,77.2580273,0
2.7317705,2117,0.4515306,89.42165364,21,10,4,5,7,6,5,8,0.0353678,100.153696,0
7.2965274,2109,0.4540816,256.514752,23,10,2,10,7,6,5,8,0.0707355,92.42423637,0
0,1551,0.4056122,154.0624651,21,2,2,9,3,3,2,1,0,56.29407329,1
1.8056439,714,0.4846939,105.7857099,21,10,7,10,7,8,2,8,0.0353678,43.91710666,1
4.7639055,567,0.4617347,191.5665305,21,2,1,9,7,3,2,8,0,89.98975334,0
13.1690331,3323,0.4464285,99.60061632,30,6,2,9,3,8,2,8,0.0353678,96.33731335,0
17.5310707,3770,0.5306122,230.4144854,30,6,4,9,3,8,2,8,0.0707355,66.10943526,0
8.573143,1280,0.5178571,15.28815942,23,10,4,9,7,8,5,1,0,75.97183936,0
8.573143,1280,0.5178571,15.28815942,23,10,4,9,7,8,5,1,0,77.21901135,0
0.4031513,1461,0.5918367,89.88724167,21,8,4,9,7,6,5,1,0,61.52423642,1
1.2873689,1950,0.502551,0.708140302,21,10,1,10,7,8,2,1,0.0353678,63.41199974,1
0,2709,0.512755,99.56203639,12,2,2,9,3,3,2,1,0,47.82766848,1
0,1527,0.6249999,57.66510721,21,2,2,10,1,3,2,1,0,103.1412708,0
0,1521,0.627551,0,21,8,4,9,3,6,4,1,0.0353678,82.15309957,0
0,1551,0.5535714,170.2533133,21,2,2,9,3,3,2,1,0,95.68477322,0
1.2723608,2564,0.4923469,136.3313807,21,10,2,10,7,6,2,1,0.0707355,54.35616668,1
2.2492895,1671,0.5382653,59.64557454,21,10,4,9,7,6,2,1,0,51.5515427,1
9.8314323,3565,0.4795918,75.83109704,30,6,1,9,7,6,3,8,0.1414711,63.77452559,1
4.0841579,2594,0.5255101,697.6690162,30,10,2,9,1,6,2,1,0,44.62931846,1
0.4169435,619,0.6071429,19.62088341,22,4,6,9,1,6,2,1,0.0353678,64.81549115,0
0.4169435,619,0.6071429,19.62088341,22,4,6,9,1,6,2,1,0.0353678,64.28824806,1
16.2635899,19466,0.4413265,157.6513776,21,6,2,10,9,6,3,8,0.1061033,63.22451746,1
0.9073786,3943,0.5178571,6.345161051,21,6,4,9,7,6,5,1,0.0353678,89.63714058,0
1.3894765,4305,0.5943877,9.762487441,21,6,2,9,7,6,5,1,0,70.79173673,0
3.7269258,11545,0.4438775,1.891789494,12,2,1,9,3,3,2,1,0.0353678,92.47763511,0
1.9975909,2264,0.4846939,284.6992536,21,2,4,9,3,3,2,1,0.0353678,57.32526415,1
11.865778,16808,0.4668367,309.3974969,30,6,2,9,9,6,5,8,0.1768388,63.00928806,1
14.2990284,17325,0.757653,32.28071797,21,6,2,9,9,6,5,1,0.0353678,34.15239871,1
19.644516,14109,0.512755,427.8880422,30,4,1,9,5,6,3,8,0,99.21329876,0
2.1249256,2798,0.4336734,37.65435691,21,10,4,9,7,6,5,1,0.0707355,69.08465892,0
1.1016865,446,0.5484694,39.22668398,21,10,7,9,7,6,5,1,0,77.0813782,0
2.850709,449,0.4260204,185.3272125,30,10,7,9,7,6,5,8,0,80.25644888,0
4.8446102,10354,0.5841836,369.138065,30,10,1,9,1,8,2,8,0.1061033,133.8741763,0
